,artist,album,track_name,track_id,key,danceability,energy,instrumentalness,loudness,valence,speechiness
0,Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),5T490vvoFNU6psep0NPmxs,3,0.795,0.48,0,-8.556,0.723,0.0688
1,Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0,0.548,0.816,0,-4.209,0.557,0.0465
2,DaBaby,BLAME IT ON BABY,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,11,0.746,0.69,0,-7.956,0.497,0.164
3,Topic,Breaking Me,Breaking Me,3H7ihDc1dqLriiWXwsc2po,8,0.789,0.72,0,-5.652,0.664,0.218
4,StaySolidRocky,Party Girl,Party Girl,5RqR4ZCCKJDcBLIn4sih9l,6,0.728,0.431,0,-9.966,0.629,0.0622
5,Dua Lipa,Break My Heart,Break My Heart,1raaNykBg1bDnWENUiglUA,4,0.73,0.729,1.39e-06,-3.434,0.467,0.0886
6,Lady Gaga,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,9,0.672,0.855,0,-3.764,0.646,0.0397
7,Megan Thee Stallion,Savage Remix (feat. Beyoncé),Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,10,0.822,0.743,0,-4.772,0.636,0.28
8,Kanye West,Wash Us In The Blood,Wash Us In The Blood,7mEUjhl6aTztdHCrxoTgBG,10,0.67,0.847,0,-4.85,0.381,0.409
9,SAINt JHN,Roses (Imanbek Remix),Roses - Imanbek Remix,24Yi9hE78yPEbZ4kxyoXAI,8,0.77,0.724,0.0107,-5.484,0.898,0.0495
10,Surf Mesa,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,11,0.674,0.774,0.00188,-7.567,0.33,0.0892
11,BENEE,STELLA & STEVE,Supalonely,4nK5YrxbMGZstTLbvj6Gxw,7,0.863,0.631,3.04e-05,-4.689,0.817,0.0534
12,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,11,0.904,0.723,0,-5.224,0.835,0.26
13,Ariana Grande,Stuck with U,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,8,0.597,0.45,0,-6.658,0.537,0.0418
14,BLACKPINK,How You Like That,How You Like That,3vAn0qZzdyuHamcrpkfiX3,11,0.828,0.782,3.41e-05,-4.014,0.351,0.0918
15,The Weeknd,Blinding Lights,Blinding Lights,0sf12qNH5qcw8qpgymFOqD,1,0.513,0.796,0.000209,-4.075,0.345,0.0629
16,Drake,Toosie Slide,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,1,0.834,0.454,6.15e-06,-9.75,0.837,0.201
