,artist,album,track_name,track_id,key,danceability,energy,instrumentalness,loudness,valence,speechiness
0,DaBaby,BLAME IT ON BABY,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,11,0.746,0.69,0,-7.956,0.497,0.164
1,Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,0,0.767,0.481,0,-8.52,0.761,0.0803
2,The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,1,0.514,0.73,9.54e-05,-5.934,0.334,0.0598
3,SAINt JHN,Roses (Imanbek Remix),Roses - Imanbek Remix,24Yi9hE78yPEbZ4kxyoXAI,8,0.77,0.724,0.0107,-5.484,0.898,0.0495
4,Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0,0.548,0.816,0,-4.209,0.557,0.0465
5,BLACKPINK,How You Like That,How You Like That,3vAn0qZzdyuHamcrpkfiX3,11,0.828,0.782,3.41e-05,-4.014,0.351,0.0918
6,Powfu,death bed (coffee for your head) (feat. beabadoobee),death bed (coffee for your head) (feat. beabadoobee),7eJMfftS33KTjuF7lTsMCx,8,0.726,0.431,0,-8.765,0.348,0.135
7,Lady Gaga,Chromatica,Rain On Me (with Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,9,0.672,0.855,0,-3.764,0.646,0.0397
8,Topic,Breaking Me,Breaking Me,3H7ihDc1dqLriiWXwsc2po,8,0.789,0.72,0,-5.652,0.664,0.218
9,Drake,Dark Lane Demo Tapes,Toosie Slide,466cKvZn1j45IpxDdYZqdA,1,0.83,0.49,3.04e-06,-8.82,0.845,0.209
10,Tones And I,Dance Monkey,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,0.825,0.593,0.000161,-6.401,0.54,0.0988
11,Surf Mesa,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,11,0.674,0.774,0.00188,-7.567,0.33,0.0892
12,StaySolidRocky,Party Girl,Party Girl,5RqR4ZCCKJDcBLIn4sih9l,6,0.728,0.431,0,-9.966,0.629,0.0622
13,Dua Lipa,Future Nostalgia,Don't Start Now,3PfIrDoz19wz7qK7tYeu62,11,0.793,0.793,0,-4.521,0.679,0.083
14,Dua Lipa,Future Nostalgia,Break My Heart,017PF4Q3l4DBUiWoXk4OWT,4,0.73,0.729,1.39e-06,-3.434,0.467,0.0883
15,Lil Mosey,Certified Hitmaker,Blueberry Faygo,22LAwLoDA5b4AaGSkg6bKW,0,0.774,0.554,0,-7.909,0.349,0.0383
16,Pop Smoke,Shoot For The Stars Aim For The Moon,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,1,0.49,0.618,3.77e-06,-5.655,0.286,0.104
17,Pop Smoke,Shoot For The Stars Aim For The Moon,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,6,0.823,0.586,0,-6.606,0.347,0.2
18,Nio Garcia,La Jeepeta (Remix),La Jeepeta - Remix,1mohfLaTJtB2RplHLQVM70,4,0.815,0.715,4.83e-06,-4.65,0.786,0.207
19,Ariana Grande,Stuck with U,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,8,0.597,0.45,0,-6.658,0.537,0.0418
20,Black Eyed Peas,Translation,MAMACITA,24IgCW19L8lXKyFZwzFtD3,2,0.88,0.626,0.000755,-7.062,0.441,0.0473
21,BENEE,STELLA & STEVE,Supalonely,4nK5YrxbMGZstTLbvj6Gxw,7,0.863,0.631,3.04e-05,-4.689,0.817,0.0534
22,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,1,0.501,0.405,0,-5.679,0.446,0.0319
23,Roddy Ricch,Please Excuse Me For Being Antisocial,The Box,0nbXyq5TXYPCO7pr3N8S4I,10,0.896,0.586,0,-6.687,0.642,0.0559
24,ROSALÍA,TKN (feat. Travis Scott),TKN (feat. Travis Scott),4w47S36wQGBhGg073q3nt7,0,0.776,0.509,1.49e-06,-6.266,0.485,0.467
25,THE SCOTTS,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,0,0.716,0.537,0,-7.648,0.28,0.0514
26,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,11,0.904,0.723,0,-5.224,0.835,0.26
27,Justin Bieber,Changes,Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV,9,0.806,0.546,0,-6.637,0.874,0.0575
28,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),Before You Go,2gMXnyrvIjhVBUZwvLZDMP,3,0.459,0.575,0,-4.858,0.183,0.0573
29,Sech,1 of 1,Relación,3ZG8N7aWw2meb6UrI5ZmnZ,7,0.805,0.562,4.96e-06,-3.117,0.767,0.105
30,Doja Cat,Hot Pink,Say So,3Dv1eDb0MEgF93GpLXlucZ,11,0.787,0.673,3.57e-06,-4.577,0.786,0.158
31,Surfaces,Where the Light Is,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,5,0.878,0.525,0,-6.832,0.694,0.0578
32,Post Malone,Hollywood's Bleeding,Circles,21jGcNKet2qwijlDFuPiPb,0,0.695,0.762,0.00244,-3.497,0.553,0.0395
33,The Weeknd,After Hours,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,7,0.667,0.719,8.1e-05,-5.371,0.717,0.0346
34,6ix9ine,GOOBA,GOOBA,4NhDYoQTYCdWHTvlbGVgwo,1,0.611,0.688,0,-5.688,0.393,0.341
35,Pop Smoke,Shoot For The Stars Aim For The Moon,Got It On Me,25zlnOAzbVoOzIeXSvQFf1,2,0.688,0.647,1.65e-05,-7.258,0.195,0.19
36,Pop Smoke,Meet The Woo,Dior,79s5XnCN4TJKTVMSmOx8Ep,7,0.548,0.805,0.000389,-5.732,0.648,0.351
37,Megan Thee Stallion,Savage Remix (feat. Beyoncé),Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,10,0.822,0.743,0,-4.772,0.636,0.28
38,Ozuna,Caramelo,Caramelo,3gD4J3RUHy4OUuZ3qAiaiG,6,0.728,0.806,0.000301,-3.766,0.698,0.0623
39,Trevor Daniel,Nicotine,Falling,2rRJrJEo19S2J82BDsQ3F7,10,0.784,0.43,0,-8.756,0.236,0.0364
40,Marshmello,Be Kind (with Halsey),Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,4,0.63,0.633,0,-7.088,0.452,0.0457
41,Travis Scott,Birds In The Trap Sing McKnight,goosebumps,6gBFPUFcJLzWGx4lenP6h2,7,0.841,0.728,0,-3.37,0.43,0.0484
42,Melanie Martinez,Cry Baby (Deluxe Edition),Play Date,4DpNNXFMMxQEKl7r0ykkWA,5,0.68,0.729,0,-5.077,0.446,0.0475
43,KAROL G,Tusa,Tusa,7k4t7uLgtOxPwTpFmtJNTY,2,0.803,0.715,0.000134,-3.28,0.574,0.298
44,Anuel AA,Emmanuel,Hasta Que Dios Diga,06s3QtMJVXw1AJX3UfvZG1,8,0.691,0.765,3.29e-06,-4.727,0.855,0.111
45,Ava Max,Kings & Queens,Kings & Queens,76nqCfJOcFFWBJN32PAksn,1,0.638,0.688,0,-4.056,0.434,0.0407
46,Shawn Mendes,Shawn Mendes (Deluxe),Señorita,6v3KW9xbzN5yKLt9YKDYA2,9,0.759,0.548,0,-6.049,0.749,0.029
47,Apache 207,Bläulich,Bläulich,57tck8MCxkY6tcQC6VhahR,1,0.796,0.687,0.000443,-7.855,0.222,0.357
48,Harry Styles,Fine Line,Adore You,3jjujdWJ72nww5eGnfs2E7,8,0.676,0.771,7e-06,-3.675,0.569,0.0483
49,Maroon 5,Memories,Memories,2b8fOow8UzyDFAE27YhOZM,11,0.764,0.32,0,-7.209,0.575,0.0546
