,artist,album,track_name,track_id,key,danceability,energy,instrumentalness,loudness,valence,speechiness
0,Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,0,0.767,0.481,0,-8.52,0.761,0.0803
1,Lil Vinceyy,Chinita Girl,Chinita Girl,6r7sdXUiKjgEx3I8GQRpSq,1,0.702,0.49,0,-6.828,0.59,0.213
2,Curtis Waters,Stunnin' (feat. Harm Franklin),Stunnin' (feat. Harm Franklin),2D0dj3hVkRQJCp63cxCPEx,11,0.885,0.685,0,-6.429,0.937,0.0627
3,Beatking,Then Leave (feat. Queendome Come),Then Leave (feat. Queendome Come),2Xoc4gqPbBa3QHKpBLJ5l8,2,0.912,0.568,0.000105,-6.107,0.491,0.476
4,KBFR,Hood Baby,Hood Baby,5au5NgWCdev4WeLRB3YEOR,11,0.974,0.472,0.000157,-11.848,0.806,0.447
5,Everybody Loves an Outlaw,I See Red,I See Red,5MAK1nd8R6PWnle1Q1WJvh,4,0.509,0.448,0.0137,-7.552,0.221,0.0357
6,Will Ferrell,Volcano Man,Volcano Man,5j5THOJJaBw3NoQy3zo9Py,8,0.462,0.626,0,-5.348,0.224,0.05
7,Cochise,Hatchback,Hatchback,12hVQgYR254ZziANtiKVWQ,2,0.734,0.692,0,-6.227,0.348,0.0555
8,Peach Tree Rascals,Mariposa,Mariposa,4ja2gzrNh9VNigzoXfmbwD,9,0.676,0.525,0,-5.88,0.421,0.028
9,HONNE,no song without you,no song without you,1lNHWPDvKEbamKezpLq7HW,0,0.788,0.473,0.254,-12.744,0.81,0.0328
10,Michele Morrone,Dark Room,Hard For Me,00PesUdTmC3Y5xtZbZND0p,10,0.451,0.291,0,-11.764,0.158,0.036
11,Conkarah,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,0dZpw3h6KZhcHec61qwevZ,8,0.824,0.854,4.95e-05,-5.312,0.896,0.177
12,Okin,Ekspektasi,Ekspektasi,6cqIxECF2y28W51gAdvzmU,1,0.587,0.662,0.000835,-8.79,0.784,0.0262
13,Mahen,Luka Yang Kurindu,Luka Yang Kurindu,5UgZoWvuycExNhZd6vIF7D,9,0.509,0.283,0.0014,-12.236,0.227,0.0331
14,BANG YE DAM,WAYO,WAYO,5QiiYSr4pJMPOESQznu2IC,8,0.678,0.358,0,-7.37,0.724,0.0289
15,Mc Jacare,Comprei um Lança,Comprei um Lança,12v6LfkX9YIR3uLefIAAYZ,7,0.652,0.723,0.000349,-7.58,0.53,0.112
16,Jay Wheeler,Platonicos,La Curiosidad,4HYDUMY0xSpeBr0AMY9cUz,11,0.845,0.677,0.000917,-4.798,0.68,0.136
17,Wejdene,Anissa,Anissa,62Pp6exz0ywSlBqvNqiY6Z,9,0.873,0.505,0.0017,-8.554,0.582,0.0646
18,Lee Greenwood,American Patriot,God Bless The U.S.A.,623lYBOJ7bLwh1bu3yeN5V,5,0.299,0.422,0,-9.977,0.168,0.0285
19,Juan Caoile,Marikit,Marikit,4nd9cEo5R4jGNcgPHDm7Ar,11,0.806,0.593,0,-7.672,0.784,0.0745
20,Master KG,Jerusalema (feat. Nomcebo Zikode),Jerusalema (feat. Nomcebo Zikode),7bt3UZ3pkhYXAK1IfhRiuQ,1,0.881,0.468,1.12e-05,-7.5,0.841,0.0511
21,The Kid LAROI,GO (feat. Juice WRLD),GO (feat. Juice WRLD),2t7D3y0jvYjR8IP9Bosyew,6,0.544,0.744,0,-5.007,0.572,0.0889
22,Jovem Dionisio,Pontos de Exclamação (Vintage Culture & Future Class Remix),Pontos de Exclamação - Vintage Culture & Future Class Remix,25usEf5iGk9HL0LM9VTxue,11,0.786,0.75,0.0277,-6.277,0.696,0.102
23,Chloe x Halle,Ungodly Hour,Do It,35Dh5MnCUPLN3XyAVtQff3,5,0.725,0.668,2.33e-06,-7.286,0.566,0.055
24,DISH//,Neko (The First Take Version),Neko - The First Take Version,6F0aYmicNttntvth7FXQEx,8,0.641,0.576,0,-6.772,0.622,0.139
25,Michele Morrone,Dark Room,Feel It,1sntdOU6b9fMuUOm3NPIuY,1,0.651,0.369,0.00308,-9.301,0.372,0.045
26,SALES,Renee,Renee,5MeUMSRreLHYLhw8ZTyqpk,9,0.924,0.386,0.00253,-8.183,0.424,0.0548
27,YOASOBI,夜に駆ける,夜に駆ける,3dPtXHP0oXQ4HCWHsOA9js,8,0.67,0.874,1.72e-05,-5.221,0.789,0.0305
28,Shablo,M' Manc (con Geolier & Sfera Ebbasta),M' Manc (con Geolier & Sfera Ebbasta),0MLu1cFYL4ikdRTdasCQT9,6,0.703,0.704,0,-6.117,0.725,0.0641
