,artist,album,track_name,track_id,key,danceability,energy,instrumentalness,loudness,valence,speechiness
0,DaBaby,BLAME IT ON BABY,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,11,0.746,0.69,0,-7.956,0.497,0.164
1,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,11,0.904,0.723,0,-5.224,0.835,0.26
2,Pop Smoke,Shoot For The Stars Aim For The Moon,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,6,0.823,0.586,0,-6.606,0.347,0.2
3,Lil Mosey,Certified Hitmaker,Blueberry Faygo,22LAwLoDA5b4AaGSkg6bKW,0,0.774,0.554,0,-7.909,0.349,0.0383
4,StaySolidRocky,Party Girl,Party Girl,5RqR4ZCCKJDcBLIn4sih9l,6,0.728,0.431,0,-9.966,0.629,0.0622
5,Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0,0.548,0.816,0,-4.209,0.557,0.0465
6,Pop Smoke,Shoot For The Stars Aim For The Moon,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,1,0.49,0.618,3.77e-06,-5.655,0.286,0.104
7,The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,1,0.514,0.73,9.54e-05,-5.934,0.334,0.0598
8,Lil Baby,My Turn (Deluxe),We Paid (feat. 42 Dugg),6gxKUmycQX7uyMwJcweFjp,1,0.926,0.542,0,-5.064,0.564,0.293
9,Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,0,0.767,0.481,0,-8.52,0.761,0.0803
10,THE SCOTTS,THE SCOTTS,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,0,0.716,0.537,0,-7.648,0.28,0.0514
11,Roddy Ricch,Please Excuse Me For Being Antisocial,The Box,0nbXyq5TXYPCO7pr3N8S4I,10,0.896,0.586,0,-6.687,0.642,0.0559
12,SAINt JHN,Roses (Imanbek Remix),Roses - Imanbek Remix,24Yi9hE78yPEbZ4kxyoXAI,8,0.77,0.724,0.0107,-5.484,0.898,0.0495
13,Pop Smoke,Shoot For The Stars Aim For The Moon,Got It On Me,25zlnOAzbVoOzIeXSvQFf1,2,0.688,0.647,1.65e-05,-7.258,0.195,0.19
14,Drake,Dark Lane Demo Tapes,Toosie Slide,466cKvZn1j45IpxDdYZqdA,1,0.83,0.49,3.04e-06,-8.82,0.845,0.209
15,Lil Baby,The Bigger Picture,The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,1,0.59,0.618,0,-5.756,0.153,0.334
16,Pop Smoke,Meet The Woo,Dior,79s5XnCN4TJKTVMSmOx8Ep,7,0.548,0.805,0.000389,-5.732,0.648,0.351
17,Don Toliver,Heaven Or Hell,After Party,527k23H0A4Q0UJN3vGs0Da,5,0.629,0.692,0.331,-8.045,0.453,0.0376
18,Megan Thee Stallion,Savage Remix (feat. Beyoncé),Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,10,0.822,0.743,0,-4.772,0.636,0.28
19,Surfaces,Where the Light Is,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,5,0.878,0.525,0,-6.832,0.694,0.0578
20,Powfu,death bed (coffee for your head) (feat. beabadoobee),death bed (coffee for your head) (feat. beabadoobee),7eJMfftS33KTjuF7lTsMCx,8,0.726,0.431,0,-8.765,0.348,0.135
21,Lady Gaga,Chromatica,Rain On Me (with Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,9,0.672,0.855,0,-3.764,0.646,0.0397
22,Jack Harlow,Sweet Action,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,11,0.923,0.604,0,-6.671,0.826,0.245
23,NLE Choppa,Walk Em Down (feat. Roddy Ricch),Walk Em Down (feat. Roddy Ricch),4cSSL3YafYjM3yjgFO1vJg,9,0.867,0.744,0,-5.171,0.645,0.228
24,Post Malone,Hollywood's Bleeding,Circles,21jGcNKet2qwijlDFuPiPb,0,0.695,0.762,0.00244,-3.497,0.553,0.0395
25,Justin Bieber,Changes,Intentions (feat. Quavo),4umIPjkehX1r7uhmGvXiSV,9,0.806,0.546,0,-6.637,0.874,0.0575
